subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.5434343434343434,0.5659800307695485,0.5434343434343434,0.5353923226732267
3.0,1409,0.7359829666430092,0.7458959665106796,0.7359829666430092,0.7250068740939513
4.0,641,0.781591263650546,0.9910242985061869,0.781591263650546,0.8686444896081825
5.0,1178,0.933786078098472,0.9409294887600478,0.933786078098472,0.9330600482530607
6.0,1488,0.5026881720430108,0.36425097726078254,0.5026881720430108,0.39400666122481887
7.0,1847,0.9556036816459123,0.9606459227886204,0.9556036816459123,0.9561595819278046
8.0,630,0.8333333333333334,0.9601449275362319,0.8333333333333334,0.8764680295780775
9.0,562,0.9323843416370107,0.9615820122937561,0.9323843416370107,0.9403908052253965
10.0,860,0.5965116279069768,0.8759736341270946,0.5965116279069768,0.6376572328223439
11.0,1787,0.8198097369893677,0.8206024042439015,0.8198097369893677,0.8201544042186675
13.0,2186,0.6486733760292772,0.837094358717486,0.6486733760292772,0.6537637683593109
14.0,68,0.6323529411764706,0.8025599128540305,0.6323529411764706,0.6010122621451399
15.0,933,0.4362272240085745,0.80460546024645,0.4362272240085745,0.3834032881903313
16.0,661,0.9909228441754917,0.9931921331316188,0.9909228441754917,0.9915499378647071
17.0,644,0.8509316770186336,0.8946948544076586,0.8509316770186336,0.8539530058214375
