model_type,timestamp,total_subjects,accuracy,precision,recall,f1_score,model
knn,20251002_011854,15,0.7902921178544448,0.804250556167902,0.7902921178544448,0.7901209560508585,knn
cnn,20251002_012146,15,0.7824225635859985,0.7962746705852959,0.7824225635859985,0.7822407271772258,cnn
svm,20251002_011851,15,0.8281289347771342,0.8339546108431001,0.8281289347771342,0.8284166389651741,svm
lr,20251002_011817,15,0.8427348274993705,0.844847171394838,0.8427348274993705,0.8430022308159149,lr
rf,20251002_011815,15,0.8046461848400907,0.8120484112079313,0.8046461848400907,0.8049104641434793,rf
