subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.8636363636363636,0.8643191311612364,0.8636363636363636,0.8631155797622831
3.0,1409,0.7991483321504613,0.798502225141829,0.7991483321504613,0.7984804163233112
4.0,641,0.8611544461778471,0.991230807127022,0.8611544461778471,0.9170972813040841
5.0,1178,0.9363327674023769,0.9399670995471454,0.9363327674023769,0.9358815157852585
6.0,1488,0.6108870967741935,0.615609631167518,0.6108870967741935,0.5688808189391713
7.0,1847,0.9507309149972929,0.9561938108565443,0.9507309149972929,0.9513658632332038
8.0,630,0.9793650793650793,0.9851966873706004,0.9793650793650793,0.9809493186013833
9.0,562,0.9572953736654805,0.9711455227469462,0.9572953736654805,0.9609156239237746
10.0,860,0.8383720930232558,0.8887247365168419,0.8383720930232558,0.8519361813858706
11.0,1787,0.8970341354224958,0.9034348589264339,0.8970341354224958,0.8980319361558771
13.0,2186,0.8696248856358646,0.908778634417507,0.8696248856358646,0.8744090723040432
14.0,68,0.7941176470588235,0.8611491108071135,0.7941176470588235,0.7916156045751634
15.0,933,0.4790996784565916,0.8016611815066995,0.4790996784565916,0.4478264977161375
16.0,661,0.6626323751891074,0.9748024180639168,0.6626323751891074,0.7724826862625147
17.0,644,0.8291925465838509,0.874397603629796,0.8291925465838509,0.8326415432393692
