subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.7151515151515152,0.7301894998446722,0.7151515151515152,0.7146677770475028
3.0,1409,0.7352732434350603,0.738109856392168,0.7352732434350603,0.7283389827340438
4.0,641,0.6037441497659907,0.990855634225369,0.6037441497659907,0.7434019917187664
5.0,1178,0.9448217317487266,0.9475505758250099,0.9448217317487266,0.9445020716035808
6.0,1488,0.5026881720430108,0.37143199047281267,0.5026881720430108,0.39668475305883943
7.0,1847,0.9036275040606389,0.9226647684609183,0.9036275040606389,0.9056138595298485
8.0,630,0.9682539682539683,0.9802336028751123,0.9682539682539683,0.9716749581651923
9.0,562,0.9430604982206405,0.9652807915979515,0.9430604982206405,0.9490438769511207
10.0,860,0.6697674418604651,0.8698333105216758,0.6697674418604651,0.7078598842106554
11.0,1787,0.8953553441522104,0.9061072887429936,0.8953553441522104,0.8966053140778203
13.0,2186,0.8783165599268069,0.9122962448979771,0.8783165599268069,0.882612169287592
14.0,68,0.7794117647058824,0.8546122994652405,0.7794117647058824,0.7758144353631863
15.0,933,0.46730975348338694,0.803961516375575,0.46730975348338694,0.430348876000921
16.0,661,0.8819969742813918,0.977874432677761,0.8819969742813918,0.9185567301146537
17.0,644,0.7127329192546584,0.827499590540864,0.7127329192546584,0.7135815163264573
