subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.695959595959596,0.7011014762557972,0.695959595959596,0.696535762425687
3.0,1409,0.7381121362668559,0.7440528226868491,0.7381121362668559,0.7294715063325667
4.0,641,0.8065522620904836,0.9910716428657146,0.8065522620904836,0.884275913075328
5.0,1178,0.9516129032258065,0.9555417700578991,0.9516129032258065,0.9512699519967963
6.0,1488,0.8911290322580645,0.9128495947878595,0.8911290322580645,0.8913362024164444
7.0,1847,0.9556036816459123,0.9554920869054133,0.9556036816459123,0.9555034057117228
8.0,630,0.9428571428571428,0.972670807453416,0.9428571428571428,0.9520529455305439
9.0,562,0.9039145907473309,0.9538050917054476,0.9039145907473309,0.9180861916085895
10.0,860,0.6162790697674418,0.877906976744186,0.6162790697674418,0.6570015727209259
11.0,1787,0.95747062115277,0.9599826039453389,0.95747062115277,0.957759779865499
13.0,2186,0.8504117108874657,0.8997713178902897,0.8504117108874657,0.856188044024719
14.0,68,0.4264705882352941,0.18187716262975778,0.4264705882352941,0.2550030321406913
15.0,933,0.4008574490889603,0.7931781821227066,0.4008574490889603,0.32832339648817604
16.0,661,0.9531013615733737,0.9827719287412393,0.9531013615733737,0.9633718203708749
17.0,644,0.8198757763975155,0.8497749791242655,0.8198757763975155,0.8234720112062929
