subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.898989898989899,0.9000064089714691,0.898989898989899,0.8991307263781421
3.0,1409,0.8105039034776437,0.8119690185870543,0.8105039034776437,0.8109377343295832
4.0,641,1.0,1.0,1.0,1.0
5.0,1178,0.9151103565365025,0.9190171405868726,0.9151103565365025,0.9144356961000794
6.0,1488,0.9260752688172043,0.9367749009620826,0.9260752688172043,0.9263625228744076
7.0,1847,0.9198700595560368,0.9349198453247,0.9198700595560368,0.9214056749084301
8.0,630,0.873015873015873,0.9629161399072904,0.873015873015873,0.9032464711124851
9.0,562,0.8096085409252669,0.9393657773647346,0.8096085409252669,0.8477080966755013
10.0,860,0.7930232558139535,0.9008275794420822,0.7930232558139535,0.8158369132634011
11.0,1787,0.8080581980973699,0.8067389819888766,0.8080581980973699,0.8071448098628637
13.0,2186,0.8545288197621226,0.9016365950326369,0.8545288197621226,0.8600960881685237
14.0,68,0.5882352941176471,0.7905056759545923,0.5882352941176471,0.5399726402188783
15.0,933,0.4480171489817792,0.7865150969447449,0.4480171489817792,0.4047134144228143
16.0,661,0.7261724659606656,0.9752316803381507,0.7261724659606656,0.8179458293717926
17.0,644,0.9642857142857143,0.96751968503937,0.9642857142857143,0.9646210730379632
