subject,samples,accuracy,precision,recall,f1_score
2.0,990,0.7252525252525253,0.7300183545655791,0.7252525252525253,0.7257859304551912
3.0,1409,0.7906316536550745,0.7900540752127914,0.7906316536550745,0.7901970200326277
4.0,641,0.9282371294851794,0.9917196687867516,0.9282371294851794,0.9553463342049573
5.0,1178,0.9388794567062818,0.9450170844847304,0.9388794567062818,0.9382813563881062
6.0,1488,0.5013440860215054,0.3862429078869119,0.5013440860215054,0.402804544196711
7.0,1847,0.9166215484569572,0.9327931876731141,0.9166215484569572,0.9182578638181107
8.0,630,0.9904761904761905,0.9919413919413919,0.9904761904761905,0.9908489658489659
9.0,562,0.9661921708185054,0.9755015730568879,0.9661921708185054,0.9685715386701766
10.0,860,0.8813953488372093,0.9286518895348838,0.8813953488372093,0.8915311773391124
11.0,1787,0.8964745383324007,0.9041347868900191,0.8964745383324007,0.8934787785364662
13.0,2186,0.812900274473925,0.8842178772140599,0.812900274473925,0.8204072043908976
14.0,68,0.7941176470588235,0.8611491108071135,0.7941176470588235,0.7916156045751634
15.0,933,0.41693461950696675,0.7619349864075823,0.41693461950696675,0.3603476636441035
16.0,661,0.7670196671709532,0.9756183372620765,0.7670196671709532,0.8455904104358876
17.0,644,0.8618012422360248,0.8987711188392377,0.8618012422360248,0.864616578110377
