subject,cnn,knn,lr,rf,svm
2.0,0.7146677770475028,0.6872752685244048,0.8991307263781421,0.7257859304551912,0.8631155797622831
3.0,0.7283389827340438,0.7473043358939618,0.8109377343295832,0.7901970200326277,0.7984804163233112
4.0,0.7434019917187664,0.8938382547659791,1.0,0.9553463342049572,0.917097281304084
5.0,0.9445020716035808,0.7879031383241508,0.9144356961000794,0.9382813563881062,0.9358815157852584
6.0,0.3966847530588394,0.7280442500027485,0.9263625228744076,0.402804544196711,0.5688808189391713
7.0,0.9056138595298484,0.9461888698165384,0.92140567490843,0.9182578638181108,0.9513658632332038
8.0,0.9716749581651924,0.9192283049956852,0.9032464711124852,0.990848965848966,0.9809493186013832
9.0,0.9490438769511208,0.7792997331709461,0.8477080966755013,0.9685715386701766,0.9609156239237746
10.0,0.7078598842106554,0.647374068437096,0.8158369132634011,0.8915311773391124,0.8519361813858706
11.0,0.8966053140778203,0.8881906347710383,0.8071448098628637,0.8934787785364662,0.8980319361558771
13.0,0.882612169287592,0.8865282645311325,0.8600960881685237,0.8204072043908976,0.8744090723040432
14.0,0.7758144353631863,0.8072079536039769,0.5399726402188783,0.7916156045751634,0.7916156045751634
15.0,0.430348876000921,0.4581301508460189,0.4047134144228143,0.3603476636441035,0.4478264977161375
16.0,0.9185567301146536,0.8126981306708992,0.8179458293717926,0.8455904104358876,0.7724826862625147
17.0,0.7135815163264573,0.8310915589315774,0.9646210730379632,0.864616578110377,0.8326415432393692
